name,street_address,address_locality,address_region,postal_code,telephone,website,ratings
La Cage,7275 Rue Sherbrooke Est,Montréal,QC,H1N 1E9,514-507-7050,/gourl/b34156b3627e844a9583e843d1f638d9da6cc42a?redirect=http%3A%2F%2Fwww.cage.ca%2F,
Les Enfants Terribles,"209, rue de la Rotonde",Verdun,QC,H3E 0B8,514-508-6068,,rating 5
La Cage,1212 avenue des Canadiens de Montréal Le Centre Bell,Montréal,QC,H3B 2S2,514-925-2255,/gourl/b34156b3627e844a9583e843d1f638d9da6cc42a?redirect=http%3A%2F%2Fwww.cage.ca%2F,
Restaurant Pho Viet,1663 rue Atateken,Montréal,QC,H2L 3L4,514-522-4116,,rating 4
Sonny's Bistro & Restaurant,4048 Rue Jean-Talon O,Montréal,QC,H4P 1V5,514-764-9676,,
Golden Curry House Restaurant,"5210, boul Saint-Laurent",Montréal,QC,H2T 1S1,514-416-7981,,rating 4.5
Jimmy Restaurant,"3924, rue Hochelaga",Montréal,QC,H1W 1J9,514-255-2462,/gourl/a9f947048f2a88b54e5dc1c3bd7e5cd200a89a1c?redirect=https%3A%2F%2Fwww.facebook.com%2Frestodelijimmys,rating 3.5
Bar A Tapas Tapeo,"511, rue Villeray",Montréal,QC,H2R 1H5,438-802-2509,/gourl/79c9dbfe5bc7f7daf2aee8688e78bb48709e0efc?redirect=http%3A%2F%2Fwww.restotapeo.com%2F,rating 5
Grillade Portuguaise ma Poule Mouillée,969 rue Rachel E,Montréal,QC,H2J 2J4,514-522-5175,/gourl/2fc2bf16b27e5a8ff0187e28966a95fee526703f?redirect=http%3A%2F%2Fmapoulemouillee.ca%2F,rating 5
La Rose Des Sables,"1815, rue Beaubien E",Montréal,QC,H2G 1L7,438-793-1877,,rating 4.5
Coronel Restaurant et Pizzeria,8746 Rue Notre-Dame E,Montréal,QC,H1L 3M1,514-400-5201,,
Café Asia,"1828, av du Mont-Royal E",Montréal,QC,H2H 1J1,514-522-3811,,rating 4
Restaurant Hochelaga,4743 rue Hochelaga,Montreal,QC,H1V 1E2,514-312-6670,,rating 4
Chalet Bar B-Q,"5456, rue Sherbrooke O",Montréal,QC,H4A 1V9,438-794-5978,/gourl/de6219d4d97b6b62fc76fc3f8e391e33cdf56bcb?redirect=http%3A%2F%2Fwww.chaletbbq.com%2F,rating 4.5
Restaurant Gandhi,"230, rue Saint-Paul O",Montréal,QC,H2Y 1Z9,514-845-5866,/gourl/0e5a0be5b390158d5a63c92efd748db46ece3d16?redirect=http%3A%2F%2Fwww.restaurantgandhi.com%2F,rating 3.5
Bistro Sawadika,"1800, boul de la cote-Vertu",Saint-Laurent,QC,H4L 2A6,514-339-1188,/gourl/976c28d787789c1c16fac607c3a340c94e9429de?redirect=https%3A%2F%2Fbistrosawadika.com%2F,rating 3.5
Per Te,"371, rue Guizot E",Montréal,QC,H2P 1M7,514-389-3000,/gourl/1b37e6f25edb39be35c12558137e5ccd653a7643?redirect=http%3A%2F%2Fwww.restaurantperte.com%2F,rating 4.5
Enoteca Monza Pizzeria Moderna - McGill,1251 Avenue McGill College,Montréal,QC,H3B 2Y4,514-878-3400,,rating 2.5
La Belle & La Boeuf - Burger Bar - Centre-ville,1620 Rue Sainte-Catherine Ouest,Montréal,QC,H3A 1L9,514-507-8558,/gourl/5680ed9ac37cec18c6ccad4389ed897f5064b6a7?redirect=http%3A%2F%2Fwww.belleetboeuf.com%2F,rating 4.5
Eggspectation,2305 ch Rockland,Montréal,QC,H3P 3E9,514-344-3651,/gourl/dfefaabecd7b8b1f6902b2dc5f7e68271a5bc5a6?redirect=http%3A%2F%2Feggspectation.com%2F,rating 4.5
Shekz Restaurant,7272 boul Maurice-Duplessis,Montréal,QC,H1E 6Z7,514-494-5555,/gourl/b8e9b4e7cff0e2105959ef6eae4cb3e2eac916c1?redirect=http%3A%2F%2Fshekz.ca%2F,rating 4
Brasserie Lucille's,"4124, rue Sainte-Catherine O",Westmount,QC,H3Z 1P4,514-933-9433,/gourl/11145c5099372ee252f2270d4daf7a984b2851cb?redirect=http%3A%2F%2Flucillesoyster.com%2F,rating 4.5
L'Gros Luxe Mile End,150 Rue Bernard Ouest,Montréal,QC,H2T 2K2,514-507-8883,/gourl/0dbb5e4a2266dfb6ed6d2a8de5bb873f893940bf?redirect=http%3A%2F%2Fwww.lgrosluxe.com%23about,rating 4.5
Knox Taverne,"1871, rue du Centre",Montréal,QC,H3K 1J1,514-933-3523,/gourl/3215705aa13168889ad6e47843af6710311f5cee?redirect=http%3A%2F%2Fwww.knoxtaverne.com%2F,rating 4
Brasseur de Montréal,"1485, rue Ottawa",Montréal,QC,H3C 1S9,514-788-4505,/gourl/105412101c8ae7d5c9eda94ffe207d69c4844cde?redirect=http%3A%2F%2Fwww.brasseurdemontreal.ca%2F,rating 4.5
Restaurant Corneli,"6741, boul Saint-Laurent",Montréal,QC,H2S 3C8,514-325-1300,,rating 5
Restaurant L’Académie,"4051, rue Saint-Denis",Montréal,QC,H2W 2M7,514-849-2249,/gourl/024ac59795f0d99d42f67d7860e0b6f1cee3fdb5?redirect=http%3A%2F%2Fwww.lacademie.ca%2F,rating 4
Sushi Ichi,102 Av Du Mont-Royal O,Montréal,QC,H2T 2T1,514-845-8338,/gourl/3a320313ba097012290b2295067e7f96731bda55?redirect=http%3A%2F%2Fwww.sushiichi.ca%2F,
Bistro-Brasserie Les Soeurs Grises,"32, rue McGill",Montréal,QC,H2Y 3W5,514-788-7635,/gourl/29e122daaba314b561aee40ab87d9cb40b2fc11f?redirect=http%3A%2F%2Fwww.bblsg.com%2F,
La Piazzetta,"1101, rue Sainte-Catherine E",Montréal,QC,H2L 2G6,514-526-2244,,rating 4.5
Labarake,"3165, rue Rachel E",Montréal,QC,H1W 1A3,514-521-0777,/gourl/7580e5580efeac8d94cb1b1b57cfea6e29b25925?redirect=http%3A%2F%2Fwww.labarake.com%2F,rating 3.5
Restaurant Bleu Raisin,"5237, rue Saint-Denis",Montréal,QC,H2J 2M1,514-271-2333,/gourl/7f1b8bec76b3a0f0d16748d94bb3fc01310d9635?redirect=https%3A%2F%2Flebleuraisin.ca%2F,rating 5
Eggspectation,1313 boul de Maisonneuve O,Montréal,QC,H3G 2R9,514-842-3447,/gourl/199415e28d384067221ecc93fe2e5caf845a7f61?redirect=http%3A%2F%2Fwww.eggspectation.com%2F,rating 4
Café Cantina,"1880, rue du Centre",Montréal,QC,H3K 1H9,514-903-3511,/gourl/1cf970e603bdef57b8e8f54de3f7ae3db30aaa4f?redirect=http%3A%2F%2Fcafe-cantina.ca%2F,rating 4.5
La Squadra,"1455, rue Peel",Montréal,QC,H3A 1T5,514-843-8575,,
Tommy St-Sulpice,"101, rue Saint-Paul O",Montréal,QC,H2Y 1Z5,514-840-5149,,
Restaurant Kalbi,1017 Boul Saint-Laurent,Montréal,QC,H2Z 1J4,514-878-3388,/gourl/ec0e47b4dd73768c23cd3ad83eddce49271a2bae?redirect=http%3A%2F%2Fkalbibbq.com%2F,
Il Cavaliere Ristorante,"1199, rue Berri",Montréal,QC,H2L 4C6,514-845-9968,/gourl/4a3ffd977c6a5d4148b80678653191cf7346b131?redirect=http%3A%2F%2Fwww.ilcavaliere.ca%2F,
L'Gros Luxe Plateau,451 Avenue Duluth Est,Montréal,QC,H2L 1A6,438-387-6127,/gourl/8f4995075784573280aa7c11359a54b4832b2c8d?redirect=http%3A%2F%2Fwww.lgrosluxe.com%2F,rating 2.5
Jun i,156 ave Laurier O,Montréal,QC,H2T 2N7,514-276-5864,/gourl/654916765e4ca5b4a61998d4cf0d5a5f114eb571?redirect=http%3A%2F%2Fwww.juni.ca%2F,rating 5
Bungalow,"4165, rue Saint-Hubert",Montréal,QC,H2L 4A7,514-523-9006,/gourl/2e5232bdbb4180c11f4a12186cf277aa59a1788d?redirect=http%3A%2F%2Fbungalow-restaurant.com%2F,
Garde Manger,408 rue Saint-François-Xavier,Montréal,QC,H2Y 2S9,514-678-5044,/gourl/2426b27179358e0edd26f0668698fe1e5a675101?redirect=http%3A%2F%2Fcrownsalts.com%2Fgardemanger%2F,rating 4.5
La Marquise Express,4136A rue Wellington,Verdun,QC,H4G 1V7,514-769-4447,,
Auberge Le Saint-Gabriel,"426, rue Saint-Gabriel",Montréal,QC,H2Y 2Z9,514-878-3561,/gourl/8f73cf267bd1ccb674996890de3699f03301ee27?redirect=http%3A%2F%2Faubergesaint-gabriel.com%2Frestaurant%2Fmenu%2F,rating 5
Restaurant L’Académie,"7275, boul des Galeries d'Anjou",Anjou,QC,H1M 2W2,514-798-8222,/gourl/024ac59795f0d99d42f67d7860e0b6f1cee3fdb5?redirect=http%3A%2F%2Fwww.lacademie.ca%2F,rating 5
3 Brasseurs,"7225, boul Les Galeries d'Anjou",Anjou,QC,H1M 2W2,514-351-5591,/gourl/5554db930b6c068072c21daa052771b399eb54c3?redirect=http%3A%2F%2Fles3brasseurs.ca%2F,rating 5
Restaurant La Sauvagine,115 rue Saint-Paul E,Montréal,QC,H2Y 1G7,514-861-3210,/gourl/dbe27e7fc950644eb0216256e2fe299a90d49735?redirect=http%3A%2F%2Fwww.sauvagine-montreal.com%2F,
Salumi Vino,"358, rue Notre-Dame E",Montréal,QC,H2Y 1C7,514-759-0505,/gourl/e0494975a17d4a3ad469c62abbf9e62456b47dcd?redirect=https%3A%2F%2Fsalumivino.com%2F,rating 4
Brasserie Des Rapides,"7852, boul Champlain",Lasalle,QC,H8P 1B3,514-595-3197,/gourl/f7abbf156b6a8ce0affa7f08eb5e0e8b4bd72fbb?redirect=http%3A%2F%2Fwww.brasseriedesrapides.com%2F,rating 4.5
